S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,groupclassification4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shutdown
416,Deal curry,Neopolitan Pizza Private Limited,2011,"Neopolitan Pizza Pvt. Ltd. operates a chain of restaurants in India. It engages in acquiring franchisee of pizza, breads, pasta, ice-creams, and other related items. The company also provides home deliveries services.",Consumer_goods,Food and beverage,Consumer_Products_and_Services,,B2C,Pizza restaurant,,,Vadodara,Gujarat,Angel investment,Hotels & Restaurants,,,,,,1, Mukund Purohi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Deal curry,Neotrade Analytics Private Limited,2013,Neotrade Analytics Pvt Ltd. is an authorized real-time data vendor of National Stock Exchange (NSE) and Bombay Stock Exchange (BSE). It provides millisecond tick by tick data updates on various charting platforms and programming languages.,Financials,Real estate,Fin_Tech_and_Payments,,B2C,Stock exchange brokers,,,Bengaluru,Karnataka,Angel investment,Investment advisory and consultancy and financial consumer services,,,,,,2,Nithin Kamath ,Vivith Kumar Lakshmiinarayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Deal curry,New Age Networks Private Limited,1999,New Age Networks Private Limited develops a content transfer mobile application. ,Technology,Software & Computer Services,Software_and_Internet_Services,,B2B2C,develops content for mobile apps,,,Mumbai,Maharashtra,Angel investment,Software services for consumers,,,,,,1,Kapil Sanghavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Deal curry,Newgen Payment Gateway Private Limited,2013,"Newgen Payment Gateway Pvt. Ltd. develops online payments and e-commerce solutions. It offers Newgen Payments, a cloud-based payment gateway that enables merchants to accept payments securely from their Websites or applications. The company’s Newgen Payments enables merchants to pick an e-commerce Website template, list their products, accept credit card orders, and ship goods.",Financials,Financial services,Fin_Tech_and_Payments,,B2C,online payment gateway,,,Delhi,,Angel investment,Payments and Wallet,,,,,,1,Sunil Jhamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Deal curry,Nilgai Foods Private Limited,2011,"Nilgai Foods Pvt Ltd. produces and sells packaged food products in India. The company offers condiments, confectionary products, jams and preserves, and sauces and dips. It also operates a chain of cafes in Mumbai that serve delis, hot mains, pot foods, salads, sandwiches, wraps, and desserts",Consumer_goods,Food and beverage,Consumer_Products_and_Services,,B2C,Peroduces and sells packed foods,,,Mumbai,Maharashtra,Angel investment,Food Products,,,,,,2, Arjun Gadkari,Abhay Jaiswal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Deal curry,Nimble Wireless Private Limited,2007,"Nimble Wireless (Pvt) Ltd. provides machine-to-machine (M2M)/Internet of things that help customers wirelessly connect, control, and manage their remote assets. The company offers Toucan-P, an asset tracking device for asset monitoring, package tracking, and covert tracking, and Toucan-PT, an asset tracking device with a panic button for asset monitoring, package tracking, covert tracking, and personal tracking. ",Technology,Software & Computer Services,Technology_,,B2B,Technology that connects 2 or more machine,,,Chennai,Tamil Nadu,Angel investment,Auto Tech & Services,,,,,,2,Siva Sivakumar, Senthil Nathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Deal curry,Nohup Technologies ,2014,"Nohup Technologies Pvt. Ltd. provides a mobile application that allows users to book and order radio taxi cabs. It offers Cabsguru, an application that helps users to check cab availability from multiple service providers, to compare ratings and fares of multiple cabs service providers, and to book radio taxi cabs in Delhi, Mumbai, Chennai, Bengaluru, Hyderabad, Ahmedabad, Pune, Jaipur, Baroda, Surat, Goa, Gurgaon, Noida, and Ghaziabad. ",Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C,Taxi services,,,Delhi,,Angel investment,"Taxi Services, Automobile pooling & Travel",,,,,,1,Prashanth Ranganathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Deal curry,NoteMyBook Private Limited,2014,NoteMyBook Pvt Ltd. operates an online marketplace for used books. It enables students to buy and sell book,Consumer_goods,personal and household goods,Internet_marketplace_and_eCommerce,,B2C,Second hand book store online,,,Mumbai,Maharashtra,Angel investment,Books and Stationary,,,,,,2,Divyansh saxena,Vikramank singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Deal curry,Novelroots Internet Private Limited,2012,"Novelroots Internet Pvt Ltd. provides Nearify, an event discovery application for Android and iOS devices. Its application allows users to discover events, such as local or international music festivals, meetups, concerts, conferences, social events, sports events, fundraisers, broadway shows, movies, or other events happening worldwide",Technology,Software & Computer Services,Software_and_Internet_Services,,B2C,Event discovery app,,,Gurgaon,Haryana,Angel investment,Software services for consumers,,,,,,3,Saurav Singh ,Mayank Kumar ,Vievk Srivastava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Deal curry,Novix Media Technologies Private Limited,2012,"Novix Media Technologies Private Limited operates AdSparx, a video advertisement technology platform for streaming Internet video. The company's platform performs analytics on the inventory, and provides a mechanism to serve in-stream targeted video advertisements, as well as delivers impression reports to the advertisers. It serves Internet video publishers and video content distributors.",Technology,Software & Computer Services,Media_Advertising_and_Gaming,,B2B,platform for streaming Internet video,video advertisment,,pune,Maharashtra,Angel investment,Movies and video,,,,,,1,Ketan Barhate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Deal curry,Nuvo Logistics Private Limited,2013,"Nuvo Logistics Private Limited provides an e-commerce platform that retails grocery products. The company offers PepperTap, a mobile grocery application that allows users to shop groceries online. It also provides delivery services on orders in Gurgaon",Consumer_goods,personal and household goods,Hyperlocal_and_Logistics,,B2C,Logistics services ,Online Grocery,,Gurgaon,Haryana,Angel investment,Online Grocery,,,,,,2,Navneet singh,Milind sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Deal curry,Ocio Hospitality Private Limited,2008,Ocio Hospitality Pvt Ltd. owns and operates a chain of leisure resorts.,Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Resorts,,,mysore,Karnataka,Angel investment,Hotels & Restaurants,,,,,,1,Gopalkrishna Kulkarni. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Deal curry,Omnichanneler Technologies Private Limited,2013,"Omnichanneler Technologies Private Limited offers Primaseller, a Software as a Service based order fulfillment platform that helps retailers to manage their brick-and-mortar stores in India. Its platform enables small and medium retailers to add products, synchronize inventory, and download orders from marketplaces, manage their physical stores with their billings and stock, and create digital records of various products.",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,software as  service,,,Bengaluru,Karnataka,Angel investment,SaaS,,,,,,2, Mohammed Ali,Vivek Subramanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Deal curry,Orane Labs Private Limited,2013,"Orane Labs Private Limited operates an online relocation management platform EZMove for customers to choose pre qualified and reliable packers and movers in India. It specializes in residential relocation, industrial and commercial relocation, and domestic and international relocation, as well as car carrier and vehicle transportation services.",Consumer_services,Retail,Hyperlocal_and_Logistics,,B2C,Packagers and movers,,,pune,Maharashtra,Angel investment, Home services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Deal curry,Orbitnote Technologies Private Limited,2013,"OrbitNote Technologies Pvt. Ltd. operates an on-demand booking platform for mini-trucks to move goods in New Delhi, Gurgaon, Noida, Faridabad, and Gaziabad. Its services include relocation, furniture and home appliances movement, moving goods in and out of warehouse, custom delivery, and construction supplies movement. ",Consumer_services,Retail,Hyperlocal_and_Logistics,,B2C,Logistics services,,,Delhi,,Angel investment,Delivery services and logistics,,,,,,2,Sumit Jain, Anjani Kuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Deal curry,Origa Renting Private Limited,2013,"Origa Renting Private Limited provides asset operating leasing solutions to enterprises in India. The company offers equipment and machinery leasing services, which enable entities to add and build capacities that empower them financially to generate revenues and provide the delivery of their services and goods effectively. It serves sanitation, water, wastewater, waste, energy, healthcare, and manufacturing and service industries. ",Consumer_services,Retail,Real_estate,,B2C,Leasing and renting,,,Mumbai,Maharashtra,Angel investment,"Buy , Rent and Sell Property",,,,,,1,Shrirang Tambe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Deal curry,Parvata Foods Private Limited,2013,"Parvata Foods Pvt. Ltd. supplies organic produce to retail outlets through a farm-to-store model. It provides fruits, vegetables, and spices sourced from farm areas of Northeast India. ",Consumer_goods,Food and beverage,Consumer_Products_and_Services,,B2C,Sells agricultural products,,,Kolkata,West Bengal,Angel investment,Farming & Agriculture,,,,,,2,Anurag Agarwal,Siddihi Karnani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Deal curry,Pasta Lifestyle Solutions Private Limited,2015,"Pasta Lifestyle Solution Private Limited owns and operates an online portal for booking gyms and fitness studios. It allows users to access multiple workouts, which include yoga and Pilates, cardio, dance, interval training, martial arts, gym, personal coach, and sports across various studios and gyms. ",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Booking - gyms anf fittness studios,,,Delhi,,Angel investment,Booking,,,,,,2,Vishesh Goel,FitMeIn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Deal curry,Pathfinder Publishing Private Limited,2007,"Pathfinder Publishing Private Limited owns and operates a higher education and career counselling portal. Its platform enables users to find colleges, courses, exams, eBooks, articles, news, and tools in the areas of engineering, medicine, management, law, universities, pharmacy, computer applications, finance and accounts, hospitality and tourism, media and journalism, animation and fashion, schools, competition, and abroad studies.",Consumer_services,Retail,Edu_Tech,,B2C,Stundent counselling,,,Delhi,,Angel investment,Student Counselling and Guidance,,,,,,1,Maheshwari Peri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Deal curry,Phonon Solutions Private Limited,2012,"Phonon Solutions Private Limited provides a car-pooling application that allows corporate members to share car rides to office and back. Its community-based ride sharing system enables rides with friends, colleagues, and neighbors in India. ",Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C,Car pooling for office crowds,,,Gurgaon,Haryana,Angel investment,"Taxi Services, Automobile pooling & Travel",,,,,,3,Promila Bhat,Arun Bhati,Sameer Khanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Deal curry,Pindrop Music App ,2014,"PindropMusic will detect your mood based on your Location, Weather, Time of the day and Activities to provide you the best music, suggested by other users",Technology,Software & Computer Services,Consumer_Products_and_Services,,B2C, Designs and develops a mobile application for music,,,Noida,Uttar Pradesh,Angel investment,Recreational Services,,,,,,3,Prankush Roopanwal,Sumit Chakraborty,Vishu Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Deal curry,Planet GoGo ,2015,Planet GoGo Pvt. Ltd. owns and operates a news aggregation portal. It also develops a news application for android mobile phones. ,Technology,Software & Computer Services,Software_and_Internet_Services,,B2B, News aggregation portal.,Application for android mobile phones.,,Gurgaon,Haryana,Angel investment,Software services for consumers,,,,,,2,Damandeep Singh Soni,Rajat Kumar Das Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Deal curry,PlaySimple Games ,,PlaySimple is the company behind the game GuessUp which available on Android and iOS.,Technology,Software & Computer Services,Media_Advertising_and_Gaming,,B2B, Develops mobile social games.,,,Bengaluru,Karnataka,Angel investment,Games and Gaming enablers,,,,,,3,Siddharth Jain,Preeti Reddy,Suraj Nalin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Deal curry,PML Solutions ,2015,"PML Solutions Pvt Ltd. provides washing and dry cleaning services using mobile based technology. Its services include dry clean, steam press, laundry, wash and fold, free pick and drop, starching, antiseptic wash, fabric softener, fabric conditioner, shoe servicing, and live processing. ",Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C, washing and dry cleaning services,,,Delhi,,Angel investment,Laundry,,,,,,3, Smar Singh Sisodia, Gaurav Agrawal, Ankur Kumar Jain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Deal curry,Posist Technologies Private Limited,2011,"Posist Technologies Pvt. Ltd. develops a SaaS based restaurant management platform. The company offers a product through which any outlet can manage their CRM, table orders, delivery & take-away, recipes, inventory, expenses, multiple branches, etc",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Saas for restaurants,,,Delhi,,Angel investment,SaaS,,,,,,2,Ashish Tulsian,Arun V enkatachalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Deal curry,Postdot Technologies ,2014,"Postdot Technologies Pvt. Ltd. develops Postman, an API development and testing solution for developers worldwide. It also offers products to build APIs and improve developer productivity. The company builds, tests, and documents APIs that creates and sends HTTP requests, creates collections and folders to group requests logically, save requests, switches contexts, customize with scripts, testing framework, and automates collections. ",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,API development ,,,Bengaluru,Karnataka,Angel investment,API Management,,,,,,3,Abhinav Asthana,Ankit Sobbti,AbhijitKane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Deal curry,Power Stores E Commerce Private Limited,2011,"Power Stores E-Commerce Private Limited operates a platform that enables small business users to create online stores. Its platform also allows users to add applications to their store to increase sales, process orders, and communicate with their customers, change images, choose colors, and edit content on pages, and create custom designs. In addition, the company’s platform provides features in the areas of content management system, loyalty programs, order management, social media, domain, Amazon cloud hosting, secure payment processing, analytics, customer support, SEO, discount coupons, mobile enabled, and an application store. Further, it offers e-commerce support services. ",Technology,Software & Computer Services,Industrial_and_Business_Products_and_Services,,B2B,Creates online stores for the business,,,panaji,goa,Angel investment,Business Support Services,,,,,,2,Cory York,Indrajit Chowdhury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Deal curry,Process Nine Technologies Private Limited,2015,"Process Nine is a software company with expertise in localization technology addressing Internet, cloud and mobile application space. We are currently working with mobile device manufacturers, eCommerce companies, mobile app developers, content providers, eGovernace and media companies.",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Software company,,,Haryana,Gurgaon,Angel investment,Enterprise Software,,,,,,1,Rakesh Kapoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Deal curry,Proklean Technologies Private Limited,2009,"Proklean Technologies Pvt. Ltd. manufactures and markets probiotic and bio-degradable products for leather processing, textile processing, and hospitality industries. It offers tannery products, wetting agents, rehydrating agents, degreasing agents, zero volatile organic content solvents, dye deepening agents, dispersing agents, penetrating aids, and fixing agents, and leather protocols, including cow/buff hides, goat skins, and sheep skins for the leather processing industry",Industrials,Industrial goods and services,Clean_Tech,,B2B,bio-degradable products,,,Chennai,Tamil Nadu,Angel investment,Eco-friendly ,,,,,,2,Sivaramakrishnan,Bala Chandrasekar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Deal curry,Property Station Reality Private Limited,2011,"Property Station Realty Pvt Ltd. operates as a resale real estate consulting company in Gurgaon. It assists buyers and sellers to execute resale deals for homes, under construction properties, land purchases, and ready to move in properties. The company also helps their clients in acquiring home loans, and documents processing for changing the property ownership.",Financials,Real estate,Real_estate,,B2C,Real estate,,,Gurgaon,Haryana,Angel investment,"Buy , Rent and Sell Property",,,,,,1,Rohit Goyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Deal curry,Prophesee Solutions Private Limited,2014,"PropheSee Solutions Pvt. Ltd. provides a Software-as-a-Service platform to empower brands with data driven insights that allow managers to take informed decisions, compare and analyze digital campaigns, and execute directly from the platform.",Technology,Software & Computer Services,Industrial_and_Business_Products_and_Services,,B2B,Saas for empower  brands,,,Delhi,,Angel investment,Business Support Services,,,,,,3,Ishaan Sethi ,Harshil Gurha,Jitesh Luthra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Deal curry,Protract Consulting Private Limited,,"Protract Consulting Private Limited operates as an education management outsourcing company that provides analysis, strategic planning, advisory, and risk management solutions to higher educational institutions and universities in India. It offers services in the areas of academic and corporate resourcing, awards and accolades, operational and financial excellence, accreditations, institutional restructuring, online university/e-learning platforms, quality certifications, brand management, and talent incubations",Industrials,Industrial goods and services,Edu_Tech,,B2B,Education management outsourcing ,,,Gurgaon,Haryana,Angel investment,Educational products and Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Deal curry,Qikwell Technologies India Private Limited,2011,"Qikwell Technologies India Pvt Ltd. operates a patient relationship platform that provides doctor appointments in Bengaluru, India. The company offers information on doctors, live information on doctor's availability, online appointment booking, instant appointment confirmation, delay/or schedule change notifications, and fair and transparent queuing system.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Fixing appoinments with doctors,,,Bengaluru,Karnataka,Angel investment,Booking,,,,,,2,Krishna Prasad,Gnaesh Ranaswamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Deal curry,Random Motion Advertising Private Limited,2013,"Random Motion Advertising Pvt. Ltd., doing business as Wishberry, operates a rewards-based crowdfunding platform. The Company allows the fund seekers to start a project seeking funds and assigns a coach to guide them through the crowdfunding process including developing videos for pitching and marketing",Financials,Financial services,Fin_Tech_and_Payments,,B2B,Crowdfunding,,,Mumbai,Maharashtra,Angel investment,Crowdfunding,,,,,,2,Ishita Anand, Fahad Moti Khan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Deal curry,Razorpay Software Private Limited,2013,"Razorpay Software Private Limited operates an online payment gateway that allows Indian businesses to collect payments online through credit cards, debit cards, net banking, and wallets. ",Financials,Financial services,Fin_Tech_and_Payments,,B2B,online payment gateway,,,Bengaluru,Karnataka,Angel investment,Payments and Wallet,,,,,,2,Harshil Mathur,Shashank Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Deal curry,Refiral Solutions Private Limited,2014,"Refiral Solutions Private Limited offers Refiral, a marketing solutions tool for various types of e-commerce businesses. The company’s Refiral mixes rewards with referral marketing and spread it virally to generate sales, convert random visitors to actual paying customers, make existing customers' friends and friends of friends their own new customers, and motivate existing customers to make repeat purchases and spread word-of-mouth.",Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,,B2B,Provides marketing solutions ,,,Gurgaon,Haryana,Angel investment,Business Support Services,,,,,,2,Anmol Batra,Rajat Goel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Deal curry,Renowala,2015,"Renowala.com will soon be launched. It will take the Indian Home Improvement Service industry to a new higher level and customer experience. Renowala will provide a stress free search for all home repairs & service providers, renovation & interiors consultation with onsite coordination for that residential and commercial assets of yours.",Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Interior designer,,,Hyderabad,Andhra Pradesh,Angel investment,Furnishings & Home Construction,,,,,,1,Joshua Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Deal curry,Resfeber Labs ,2014,"Resfeber Labs Pvt. Ltd. provides mini truck services for intra-city pickups and deliveries in India. The company also provides a platform for logistics support solutions, such as order management, real-time tracking, logistic management, fleet management, and capacity utilization. It helps clients with relocation, construction supplies, perishable supplies, event management supplies, e-commerce supplies, and other logistic services.",Consumer_services,Retail,Hyperlocal_and_Logistics,,B2C,Delivery - Mini truck services,,,Mumbai,Maharashtra,Angel investment,Delivery services and logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Deal curry,Right Axis Eye Hospital ,2014,"Right Axis Eye Hospital Pvt Ltd., doing business as Akshara Eye Hospital, operates an eye care hospital. It offers cataract, pediatric ophthalmology and squint, retina, glaucoma, refractive surgery, Uveitis, optometry, and oculoplasty services. The company also operates an in house licensed pharmacy and an optical store, a clinical laboratory to perform various blood tests for sugar, lipids, cholesterol, etc., as well as renal function tests, liver and thyroid function tests, urine microscopy and culture, and more, and an operation theatre complex",Healthcare,Healthcare,Health_Tech,,B2C,Hospital -eye,,,Bengaluru,Karnataka,Angel investment,"Clinics, Hospitals, and Health Care Providers ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Deal curry,Roadgods Autogear ,2014,"RoadGods AutoGear Private Limited retails road travel accessories online. The company retails and ships road travel bags, jackets, helmet, kits, and related accessories. ",Consumer_goods,personal and household goods,Consumer_Products_and_Services,,B2C, Retail shop - road travel accessories online,,,Delhi,,Angel investment,Clothing & Accessories,,,,,,2,Apoorv Mangalam,Ashish Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Deal curry,Roomstonite Ebookings Private Limited,2013,"RoomsTonite eBookings Pvt Ltd. provides a last minute hotel booking mobile application in India. It offers RoomsTonite that enables users to book hotels for the same day, next day, and day after tomorrow in luxury, premium, and comfort categories. The company’s application is used by hotels to sell their unsold inventories at last minute. ",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Mobile app for booking hotels,,,Bengaluru,Karnataka,Angel investment,Booking,,,,,,1,Suresh John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Deal curry,Saahas Waste Management Private Limited,2013,"The company offers consultancy services, including conducting a waste audit, and collection and recycling of post-consumer cartons. It also manages wet/organic, dry/recyclable waste, and e-Waste of apartments, households, schools, and communities. In addition, the company offers a range of organic fertilizers, such as compost, vermi compost, and compost activator, poly aluminum roofing sheets, pens, notebooks and notepads, toilet rolls, C fold towels, and paper. Further, it provides services to property managers and construction companies, and exchanges paper and carton boxes for recycled paper stationery products. It serves apartments, corporate and government campuses, educational institutions, and communitie",Industrials,Industrial goods and services,Clean_Tech,,B2B2C,"Consulting services like recycling of products, clean audit etc",,,Bengaluru,Karnataka,Angel investment,Renewable energy,,,,,,1,Wilma Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Deal curry,Sahas Technologies Private Limited,2010,"Sahas Technologies Pvt Ltd owns and operates an online portal for comparing loan rates including car loans, home loans, unsecured personal and business loans, and loans against property.",Financials,Banks,Fin_Tech_and_Payments,,B2C,Online portal provides loan rates,,,Nagpur,Maharashtra,Angel investment, Banking and Non Banking Financial services,,,,,,1,Sanket Hasabnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
