startupName,founderName,website,city
FINDURCLASS,"['RINA NATHANI', 'AAKASH JETHWANI']",http://www.findurclass.com,Mumbai
FINGERLIX,['SHREE BHARAMBE'],https://www.fingerlix.com/,Pune
FIRST-TOUCH,[],,Oxford
FIRSTCRY,"['SUPAM MAHESHWARI', 'AMITAVA SAHA']",http://www.firstcry.com,Pune
FISDOM,"['SUBRAMANYA VENKAT', 'ANAND DALMIA', 'SUBRAMANYA S.V.', 'RAMGANESH IYER']",http://www.fisdom.com/,Bangalore
FITCIRCLE,"['MIHIR GADANI', 'AARTI GILL']",http://www.fitcircle.in/,Mumbai
FITRAQ SERVICES,['SIDDHARTH RAMPAL'],https://fitraq.com/,Delhi
FITSO,"['NAMAN SHARMA', 'SAURABH AGGARWAL', 'RAHOOL SUREKA']",http://www.getfitso.com,Gurgaon
FIXINNOV TECHNOLOGY,[],http://www.nethues.com/,New Delhi
FIXNIX,"['SUBRA P', 'SHANMUGAVEL SANKARAN']",http://FixNix.co,Fremont
FIZZY FOODLABS,[],http://www.chefsbasket.in/,Mumbai
FLAGSHIP PIONEERING,[],,Noubar Afeyan
FLASH DOOR,"['ANKIT AGARWAL', 'HIMANSHU GUPTA']",http://www.flashdoor.in/,Bangalore
FLASHDOOR INTERNET SERVICES,"['CHETAN ANAND', 'SHASHVAT TRIPATHI', 'ANURAG PRASAD', 'VAIBHAV SINGH']",https://getvisitapp.com,New Delhi
FLATFURNISH,"['JYOTI GOYAL', 'JEETESH AGRAWAL']",http://flatfurnish.com,Gurgaon
FLATPEBBLE,[],,
FLEXING IT SERVICES,['CHANDRIKA PASRICHA'],http://www.flexingit.com,New Delhi
FLEXING IT,['CHANDRIKA PASRICHA'],http://www.flexingit.com,New Delhi
FLICKBAY,['TRISHANT SIDHWANI'],http://flickbay.com/,Mumbai
FLINTO,[],http://flinto.com,San Francisco
FLIPCLASS,['VINEET DWIVEDI'],http://www.flipclass.com/,Bangalore
FLYROBE,"['PRANAY SURANA', 'TUSHAR SAXENA', 'SHREYA MISHRA']",http://flyrobe.com/,Mumbai
FOOTPRINTS CHILDCARE,"['ASHISH AGGARWAL', 'RAJ SINGHAL', 'PURVESH SHARMA']",http://www.footprintseducation.in/,Haryana
FORTHEA INTERACTIVE MARKETING,[],http://www.forthea.com,Houston
FOURSEVEN,['REBEKKAH KUMAR'],http://www.fourseven.in,Gurgaon
FOURTH PARTNER ENERGY,"['SAIF DHORAJIWALA', 'VIVEK SUBRAMANIAN', 'VIKAS SALUGUTI']",http://fourthpartner.co/index.html,Hyderabad
FRAMEBENCH TECHNOLOGIES,"['VINEET MARKAN', 'ROHIT AGARWAL']",http://framebench.com,Pune
FRAMEBENCH,"['VINEET MARKAN', 'ROHIT AGARWAL']",http://framebench.com,Pune
FREEDOM SMART LABS LTD,['YOGESH HUJA'],http://www.freedomsmartlabs.com/,Gurgaon
FREEDOM,['BRADFORD STROH'],http://freedomfinancialnetwork.com,San Mateo
FRESHBOXX,['ROHAN KULKARNI'],http://www.freshboxx.in/,Hubli
FRESHMENU,['RASHMI DAGA'],http://freshmenu.com/,Bengaluru
FRESHNV,[],,
FRESHTOHOME,['SHAN KADAVIL'],http://www.freshtohome.com,Bangalore
FRESHWORLD,['RAJIV RAO'],http://www.freshworld.in/,Bangalore
FRILP,"['SENTHIL KANTHASWAMY', 'SHANMUGA ANANDARAMAN', 'ANISH DEENADAYALAN']",http://frilp.com,Chennai
FROYOFIT,[],http://froyofit.com,Indore
FRROLE,"['AMARPREET KALKAT', 'NISHITH SHARMA', 'ABHISHEK VAID']",https://frrole.ai,Bangalore
FRSH,['BADAL GOEL'],http://frsh.com/,Gurgaon
FULFIL,"['SHAROON THOMAS', 'RITUPARNA PANDA', 'TARUN BHARDWAJ', 'PRAKASH PANDEY']",https://www.fulfil.io/,Toronto
FUNDAMENTOR,"['BHARGAVI A.R', 'ANKUR VOHRA']",http://www.fundamentor.com/,Pune
FUNFINITY LEARNING SOLUTIONS,[],,Gurgaon
FXKART,['MUSHTAQ SHAH'],http://fxkart.com,Bengaluru
FYLE TECHNOLOGIES,"['YASHWANTH MADHUSUDAN', 'SIVARAMAKRISHNAN NARAYANAN']",http://www.fyle.in,Bengaluru
FYND,"['ALBERT TIRTOHADI', 'JACK LEOW']",http://www.getfynd.com,Singapore
